id,category,date,recommended_action,current_rate,recommended_rate,change_pct,confidence,reasoning,weather_factor,event_factor,news_factor,is_orphan,occupancy_pct,otb,floor_rate,computed_at
DELUXE_2026-06-02,DELUXE,2026-06-02,INCREASE,5465,5650,3.4,MEDIUM,"DELUXE date-aware demand signal: Convention calendar: Citywide conference week, Weather: Severe thunderstorms forecast (48h) — rate adjustment warranted.","","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108473
DELUXE_2026-06-03,DELUXE,2026-06-03,DISCOUNT,5528,5400,-2.3,MEDIUM,DELUXE date-aware demand signal: Convention calendar: Citywide conference week — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,40,4,0,2026-05-31 01:48:15.10848
DELUXE_2026-06-04,DELUXE,2026-06-04,INCREASE,5517,5750,4.2,HIGH,DELUXE occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108486
DELUXE_2026-06-05,DELUXE,2026-06-05,INCREASE,5544,5650,1.9,MEDIUM,DELUXE date-aware demand signal: Convention calendar: Citywide conference week — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108491
DELUXE_2026-06-06,DELUXE,2026-06-06,INCREASE,5617,5800,3.3,HIGH,DELUXE occupancy at 90% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,90,9,0,2026-05-31 01:48:15.108498
DELUXE_2026-06-07,DELUXE,2026-06-07,INCREASE,5661,5700,0.7,LOW,Convention calendar: Citywide conference week - Compression nights expected. Maintain price floor; discount only strande — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108504
DELUXE_2026-06-09,DELUXE,2026-06-09,DISCOUNT,5593,5400,-3.5,MEDIUM,DELUXE occupancy at 20% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,20,2,0,2026-05-31 01:48:15.108511
DELUXE_2026-06-14,DELUXE,2026-06-14,DISCOUNT,5503,5450,-1,LOW,Convention calendar: Citywide conference week - Compression nights expected. Maintain price floor; discount only strande — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,50,5,0,2026-05-31 01:48:15.108518
SUITE_2026-05-31,SUITE,2026-05-31,INCREASE,9750,10000,2.6,HIGH,SUITE occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108525
SUITE_2026-06-01,SUITE,2026-06-01,INCREASE,9923,10000,0.8,MEDIUM,"SUITE date-aware demand signal: Convention calendar: Citywide conference week, Weather: Severe thunderstorms forecast (48h) — rate adjustment warranted.","","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108532
SUITE_2026-06-02,SUITE,2026-06-02,INCREASE,10082,10100,0.2,MEDIUM,"SUITE date-aware demand signal: Convention calendar: Citywide conference week, Weather: Severe thunderstorms forecast (48h) — rate adjustment warranted.","","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,60,6,0,2026-05-31 01:48:15.108537
SUITE_2026-06-03,SUITE,2026-06-03,DISCOUNT,10136,10000,-1.3,MEDIUM,SUITE date-aware demand signal: Convention calendar: Citywide conference week — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,50,5,0,2026-05-31 01:48:15.108542
SUITE_2026-06-04,SUITE,2026-06-04,DISCOUNT,10012,10000,-0.1,MEDIUM,SUITE date-aware demand signal: Convention calendar: Citywide conference week — rate adjustment warranted.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,50,5,0,2026-05-31 01:48:15.108548
SUITE_2026-06-05,SUITE,2026-06-05,INCREASE,10118,10150,0.3,HIGH,SUITE occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108554
SUITE_2026-06-06,SUITE,2026-06-06,INCREASE,10029,10200,1.7,HIGH,SUITE occupancy at 90% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,90,9,0,2026-05-31 01:48:15.10856
SUITE_2026-06-07,SUITE,2026-06-07,INCREASE,10092,10150,0.6,HIGH,SUITE occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108566
SUITE_2026-06-08,SUITE,2026-06-08,DISCOUNT,9887,9500,-3.9,LOW,SUITE occupancy at 20% — rate support needed to drive advance bookings.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,20,2,0,2026-05-31 01:48:15.108572
SUITE_2026-06-11,SUITE,2026-06-11,INCREASE,9942,10000,0.6,MEDIUM,SUITE occupancy at 70% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,70,7,0,2026-05-31 01:48:15.108578
SUITE_2026-06-14,SUITE,2026-06-14,INCREASE,9819,10000,1.8,HIGH,SUITE occupancy at 80% — strong on-books demand supports rate increase.,"","",Convention calendar: Citywide conference week - Compression nights expected. Mai,f,80,8,0,2026-05-31 01:48:15.108584
