id,room_id,date,block_type,booking_id,current_rate,channel,min_stay_active,min_stay_nights,floor_rate,channel_partner,offer_id
U10_2026-04-23,U10,2026-04-23,SOFT,A1D0F18D,11000,OTA,f,1,0,,
S01_2026-04-30,S01,2026-04-30,EMPTY,,2500,OTA,f,1,0,,
E02_2026-04-09,E02,2026-04-09,EMPTY,,1500,OTA,f,1,0,,
S03_2026-04-08,S03,2026-04-08,SOFT,BKS3A,2500,OTA,f,1,0,,
U10_2026-04-24,U10,2026-04-24,SOFT,A1D0F18D,11000,OTA,f,1,0,,
D03_2026-04-24,D03,2026-04-24,SOFT,BKD3C,5000,DIRECT,f,1,0,,
D03_2026-04-25,D03,2026-04-25,SOFT,BKD3C,5000,DIRECT,f,1,0,,
S01_2026-05-01,S01,2026-05-01,SOFT,BKS6E,2500,OTA,f,1,0,,
S01_2026-05-02,S01,2026-05-02,SOFT,BKS6E,2500,OTA,f,1,0,,
S01_2026-05-03,S01,2026-05-03,SOFT,BKS6E,2500,OTA,f,1,0,,
D03_2026-04-30,D03,2026-04-30,SOFT,BKD4D,5000,OTA,f,1,0,,
D09_2026-05-02,D09,2026-05-02,EMPTY,,6000,OTA,f,1,0,,
S01_2026-05-04,S01,2026-05-04,SOFT,BKS6E,2500,OTA,f,1,0,,
U07_2026-05-06,U07,2026-05-06,SOFT,BKU2E,10500,OTA,f,1,0,,
E04_2026-04-09,E04,2026-04-09,EMPTY,,1500,OTA,f,1,0,,
E04_2026-04-10,E04,2026-04-10,EMPTY,,1500,OTA,f,1,0,,
S08_2026-05-02,S08,2026-05-02,EMPTY,,3000,OTA,f,1,0,,
S04_2026-04-08,S04,2026-04-08,SOFT,BKS4A,2800,OTA,f,1,0,,
S08_2026-05-03,S08,2026-05-03,EMPTY,,3000,OTA,f,1,0,,
S04_2026-04-19,S04,2026-04-19,SOFT,BKS10B,2800,DIRECT,f,1,0,,
S08_2026-05-04,S08,2026-05-04,EMPTY,,3000,OTA,f,1,0,,
S06_2026-04-14,S06,2026-04-14,SOFT,BKS7B,2800,OTA,f,1,0,,
S06_2026-06-20,S06,2026-06-20,EMPTY,,2800,DIRECT,f,1,0,,
S06_2026-06-21,S06,2026-06-21,EMPTY,,2800,DIRECT,f,1,0,,
S06_2026-04-17,S06,2026-04-17,SOFT,BKS7B,2800,OTA,f,1,0,,
S06_2026-04-18,S06,2026-04-18,SOFT,BKS7B,2800,OTA,f,1,0,,
S08_2026-05-05,S08,2026-05-05,EMPTY,,3000,OTA,f,1,0,,
S04_2026-05-07,S04,2026-05-07,EMPTY,,2800,OTA,f,1,0,,
S05_2026-04-08,S05,2026-04-08,SOFT,BKS5A,2800,OTA,f,1,0,,
S08_2026-05-06,S08,2026-05-06,EMPTY,,3000,OTA,f,1,0,,
S03_2026-04-25,S03,2026-04-25,EMPTY,,2500,DIRECT,f,1,0,,
U09_2026-04-17,U09,2026-04-17,SOFT,BKU9B,11000,OTA,f,1,0,,
U09_2026-04-18,U09,2026-04-18,SOFT,BKU9B,11000,OTA,f,1,0,,
S05_2026-04-14,S05,2026-04-14,HARD,,2800,OTA,f,1,0,,
S05_2026-04-15,S05,2026-04-15,HARD,,2800,OTA,f,1,0,,
S05_2026-04-16,S05,2026-04-16,HARD,,2800,OTA,f,1,0,,
U09_2026-04-19,U09,2026-04-19,SOFT,BKU9B,11000,OTA,f,1,0,,
U09_2026-04-20,U09,2026-04-20,SOFT,BKU9B,11000,OTA,f,1,0,,
S05_2026-05-01,S05,2026-05-01,EMPTY,,2800,OTA,f,1,0,,
S05_2026-05-02,S05,2026-05-02,EMPTY,,2800,OTA,f,1,0,,
S05_2026-05-03,S05,2026-05-03,EMPTY,,2800,OTA,f,1,0,,
S05_2026-05-04,S05,2026-05-04,EMPTY,,2800,OTA,f,1,0,,
S05_2026-05-05,S05,2026-05-05,EMPTY,,2800,OTA,f,1,0,,
S04_2026-04-20,S04,2026-04-20,SOFT,BKS10B,2800,DIRECT,f,1,0,,
S05_2026-05-06,S05,2026-05-06,EMPTY,,2800,OTA,f,1,0,,
S05_2026-05-07,S05,2026-05-07,EMPTY,,2800,OTA,f,1,0,,
S06_2026-04-08,S06,2026-04-08,SOFT,BKS6A,2800,OTA,f,1,0,,
S06_2026-04-09,S06,2026-04-09,SOFT,BKS6A,2800,OTA,f,1,0,,
S06_2026-04-13,S06,2026-04-13,EMPTY,,2800,OTA,f,1,0,,
U09_2026-04-21,U09,2026-04-21,SOFT,BKU9B,11000,OTA,f,1,0,,
U09_2026-04-22,U09,2026-04-22,SOFT,BKU9B,11000,OTA,f,1,0,,
U09_2026-04-23,U09,2026-04-23,SOFT,BKU9B,11000,OTA,f,1,0,,
U09_2026-04-24,U09,2026-04-24,SOFT,BKU9B,11000,OTA,f,1,0,,
S04_2026-05-05,S04,2026-05-05,SOFT,BKS7E,2800,OTA,f,1,0,,
S04_2026-05-06,S04,2026-05-06,SOFT,BKS7E,2800,OTA,f,1,0,,
S06_2026-04-19,S06,2026-04-19,SOFT,BKS6C,2800,DIRECT,f,1,0,,
S06_2026-04-22,S06,2026-04-22,SOFT,BKS6C,2800,DIRECT,f,1,0,,
S04_2026-04-21,S04,2026-04-21,SOFT,BKS10B,2800,DIRECT,f,1,0,,
U09_2026-05-06,U09,2026-05-06,SOFT,BKU4D,11000,DIRECT,f,1,0,,
S04_2026-04-22,S04,2026-04-22,SOFT,BKS10B,2800,DIRECT,f,1,0,,
S05_2026-04-13,S05,2026-04-13,EMPTY,,2500,OTA,t,1,0,,
S06_2026-04-10,S06,2026-04-10,EMPTY,,2800,OTA,f,1,0,,
S03_2026-04-20,S03,2026-04-20,SOFT,E9EF4DD6,2500,OTA,f,1,0,,
S03_2026-04-21,S03,2026-04-21,SOFT,E9EF4DD6,2500,OTA,f,1,0,,
E02_2026-04-10,E02,2026-04-10,EMPTY,,1500,OTA,f,1,0,,
S06_2026-04-11,S06,2026-04-11,EMPTY,,2800,OTA,f,1,0,,
S06_2026-04-12,S06,2026-04-12,EMPTY,,2800,OTA,f,1,0,,
E02_2026-04-11,E02,2026-04-11,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-12,E02,2026-04-12,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-13,E02,2026-04-13,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-14,E02,2026-04-14,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-15,E02,2026-04-15,EMPTY,,1500,OTA,f,1,0,,
E05_2026-04-09,E05,2026-04-09,EMPTY,,1500,OTA,f,1,0,,
E05_2026-04-10,E05,2026-04-10,EMPTY,,1500,OTA,f,1,0,,
E05_2026-04-11,E05,2026-04-11,EMPTY,,1500,OTA,f,1,0,,
E05_2026-04-12,E05,2026-04-12,EMPTY,,1500,OTA,f,1,0,,
S07_2026-04-25,S07,2026-04-25,EMPTY,,3000,OTA,f,1,0,,
S07_2026-04-19,S07,2026-04-19,EMPTY,,3000,OTA,f,1,0,,
S06_2026-05-07,S06,2026-05-07,EMPTY,,2800,OTA,f,1,0,,
S07_2026-04-08,S07,2026-04-08,SOFT,BKS7A,3000,OTA,f,1,0,,
S07_2026-04-09,S07,2026-04-09,SOFT,BKS7A,3000,OTA,f,1,0,,
S07_2026-05-02,S07,2026-05-02,EMPTY,,3000,OTA,f,1,0,,
S07_2026-04-13,S07,2026-04-13,EMPTY,,3000,OTA,f,1,0,,
S07_2026-05-03,S07,2026-05-03,EMPTY,,3000,OTA,f,1,0,,
S07_2026-04-22,S07,2026-04-22,EMPTY,,3000,DIRECT,f,1,0,,
S07_2026-04-23,S07,2026-04-23,EMPTY,,3000,DIRECT,f,1,0,,
S04_2026-04-30,S04,2026-04-30,EMPTY,,2800,OTA,f,1,0,,
S04_2026-05-01,S04,2026-05-01,EMPTY,,2800,OTA,f,1,0,,
S10_2026-04-26,S10,2026-04-26,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-27,S10,2026-04-27,EMPTY,,3200,OTA,f,1,0,,
S07_2026-05-04,S07,2026-05-04,EMPTY,,3000,OTA,f,1,0,,
S07_2026-05-05,S07,2026-05-05,EMPTY,,3000,OTA,f,1,0,,
S10_2026-04-18,S10,2026-04-18,EMPTY,,3200,OTA,f,1,0,,
S07_2026-05-01,S07,2026-05-01,EMPTY,,3000,OTA,f,1,0,,
S07_2026-05-07,S07,2026-05-07,EMPTY,,3000,OTA,f,1,0,,
S08_2026-04-08,S08,2026-04-08,EMPTY,,3000,OTA,f,1,0,,
S08_2026-04-25,S08,2026-04-25,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-04-26,S08,2026-04-26,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-04-27,S08,2026-04-27,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-04-28,S08,2026-04-28,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-04-29,S08,2026-04-29,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-04-30,S08,2026-04-30,SOFT,BKS8C,3000,DIRECT,f,1,0,,
S08_2026-05-01,S08,2026-05-01,EMPTY,,3000,OTA,f,1,0,,
S07_2026-04-10,S07,2026-04-10,EMPTY,,3000,OTA,f,1,0,,
S07_2026-04-11,S07,2026-04-11,EMPTY,,3000,OTA,f,1,0,,
S08_2026-05-07,S08,2026-05-07,EMPTY,,3000,OTA,f,1,0,,
S09_2026-04-08,S09,2026-04-08,SOFT,BKS9A,3000,OTA,f,1,0,,
S09_2026-04-09,S09,2026-04-09,SOFT,BKS9A,3000,OTA,f,1,0,,
S09_2026-04-10,S09,2026-04-10,SOFT,BKS9A,3000,OTA,f,1,0,,
S10_2026-04-19,S10,2026-04-19,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-20,S10,2026-04-20,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-21,S10,2026-04-21,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-22,S10,2026-04-22,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-23,S10,2026-04-23,EMPTY,,3200,OTA,f,1,0,,
S07_2026-04-24,S07,2026-04-24,EMPTY,,3000,DIRECT,f,1,0,,
S10_2026-04-24,S10,2026-04-24,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-25,S10,2026-04-25,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-28,S10,2026-04-28,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-29,S10,2026-04-29,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-30,S10,2026-04-30,EMPTY,,3200,OTA,f,1,0,,
S07_2026-05-06,S07,2026-05-06,EMPTY,,3000,OTA,f,1,0,,
S01_2026-05-06,S01,2026-05-06,EMPTY,,2500,OTA,f,1,0,,
S01_2026-05-07,S01,2026-05-07,EMPTY,,2500,OTA,f,1,0,,
S09_2026-04-11,S09,2026-04-11,SOFT,439922E0,3000,OTA,f,1,0,,
S07_2026-04-20,S07,2026-04-20,SOFT,3CB9B1D5,3000,DIRECT,f,1,0,,
S07_2026-04-21,S07,2026-04-21,SOFT,3CB9B1D5,3000,DIRECT,f,1,0,,
S08_2026-04-12,S08,2026-04-12,EMPTY,,3000,OTA,f,1,0,,
S06_2026-05-06,S06,2026-05-06,SOFT,BKS9C,2800,OTA,f,1,0,,
S09_2026-04-12,S09,2026-04-12,SOFT,439922E0,3000,OTA,f,1,0,,
S09_2026-04-13,S09,2026-04-13,SOFT,439922E0,3000,OTA,f,1,0,,
S09_2026-04-14,S09,2026-04-14,SOFT,439922E0,3000,OTA,f,1,0,,
S09_2026-04-16,S09,2026-04-16,SOFT,439922E0,3000,OTA,f,1,0,,
S09_2026-04-17,S09,2026-04-17,SOFT,439922E0,3000,OTA,f,1,0,,
S09_2026-04-28,S09,2026-04-28,SOFT,BA1E69C3,3000,OTA,f,1,0,,
S01_2026-05-05,S01,2026-05-05,SOFT,BKS6E,2500,OTA,f,1,0,,
S09_2026-05-07,S09,2026-05-07,EMPTY,,3000,OTA,f,1,0,,
S10_2026-04-08,S10,2026-04-08,SOFT,BKS10A,3200,OTA,f,1,0,,
S10_2026-04-09,S10,2026-04-09,SOFT,BKS10A,3200,OTA,f,1,0,,
S10_2026-04-10,S10,2026-04-10,SOFT,BKS10A,3200,OTA,f,1,0,,
S09_2026-04-15,S09,2026-04-15,SOFT,439922E0,3000,OTA,t,1,0,,
S03_2026-04-26,S03,2026-04-26,EMPTY,,2500,DIRECT,f,1,0,,
S02_2026-05-01,S02,2026-05-01,EMPTY,,2500,OTA,f,1,0,,
S09_2026-05-02,S09,2026-05-02,SOFT,BKS8D,3000,OTA,f,1,0,,
S09_2026-05-03,S09,2026-05-03,SOFT,BKS8D,3000,OTA,f,1,0,,
S09_2026-05-04,S09,2026-05-04,SOFT,BKS8D,3000,OTA,f,1,0,,
S09_2026-05-05,S09,2026-05-05,SOFT,BKS8D,3000,OTA,f,1,0,,
S09_2026-05-06,S09,2026-05-06,SOFT,BKS8D,3000,OTA,f,1,0,,
D01_2026-05-07,D01,2026-05-07,EMPTY,,5000,OTA,f,1,0,,
S10_2026-04-11,S10,2026-04-11,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-07,S10,2026-05-07,EMPTY,,3200,OTA,f,1,0,,
D02_2026-04-12,D02,2026-04-12,EMPTY,,4500,OTA,t,1,0,,
S03_2026-04-18,S03,2026-04-18,EMPTY,,2500,OTA,f,1,0,,
D01_2026-05-01,D01,2026-05-01,SOFT,BKD1D,5000,OTA,f,1,0,,
D01_2026-05-02,D01,2026-05-02,SOFT,BKD1D,5000,OTA,f,1,0,,
D01_2026-05-03,D01,2026-05-03,SOFT,BKD1D,5000,OTA,f,1,0,,
D01_2026-05-04,D01,2026-05-04,SOFT,BKD1D,5000,OTA,f,1,0,,
D01_2026-05-05,D01,2026-05-05,SOFT,BKD1D,5000,OTA,f,1,0,,
D01_2026-05-06,D01,2026-05-06,SOFT,BKD1D,5000,OTA,f,1,0,,
D02_2026-04-08,D02,2026-04-08,HARD,,5000,OTA,f,1,0,,
D02_2026-04-09,D02,2026-04-09,HARD,,5000,OTA,f,1,0,,
D02_2026-04-10,D02,2026-04-10,HARD,,5000,OTA,f,1,0,,
D02_2026-04-11,D02,2026-04-11,HARD,,5000,OTA,f,1,0,,
D02_2026-04-13,D02,2026-04-13,EMPTY,,5000,OTA,f,1,0,,
D02_2026-04-14,D02,2026-04-14,HARD,,5000,OTA,f,1,0,,
D02_2026-04-15,D02,2026-04-15,HARD,,5000,OTA,f,1,0,,
D02_2026-04-16,D02,2026-04-16,HARD,,5000,OTA,f,1,0,,
E02_2026-04-17,E02,2026-04-17,EMPTY,,1500,OTA,f,1,0,,
D07_2026-04-25,D07,2026-04-25,SOFT,BKD8C,6000,DIRECT,f,1,0,,
E02_2026-04-18,E02,2026-04-18,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-19,E02,2026-04-19,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-20,E02,2026-04-20,EMPTY,,1500,OTA,f,1,0,,
S03_2026-04-19,S03,2026-04-19,EMPTY,,2500,OTA,f,1,0,,
E02_2026-04-21,E02,2026-04-21,EMPTY,,1500,OTA,f,1,0,,
D01_2026-04-30,D01,2026-04-30,SOFT,BKD2D,5000,OTA,f,1,0,,
S10_2026-04-12,S10,2026-04-12,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-13,S10,2026-04-13,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-14,S10,2026-04-14,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-15,S10,2026-04-15,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-16,S10,2026-04-16,EMPTY,,3200,OTA,f,1,0,,
S10_2026-04-17,S10,2026-04-17,EMPTY,,3200,OTA,f,1,0,,
E02_2026-04-22,E02,2026-04-22,EMPTY,,1500,OTA,f,1,0,,
D01_2026-04-15,D01,2026-04-15,SOFT,BKD6B,5000,OTA,f,1,0,,
D01_2026-04-16,D01,2026-04-16,SOFT,BKD6B,5000,OTA,f,1,0,,
E02_2026-04-23,E02,2026-04-23,EMPTY,,1500,OTA,f,1,0,,
E02_2026-04-24,E02,2026-04-24,EMPTY,,1500,OTA,f,1,0,,
D03_2026-04-13,D03,2026-04-13,EMPTY,,4500,OTA,t,1,0,,
D02_2026-05-02,D02,2026-05-02,EMPTY,,5000,OTA,f,1,0,,
S02_2026-05-03,S02,2026-05-03,SOFT,4DEFF301,2500,DIRECT,f,1,0,,
S09_2026-04-29,S09,2026-04-29,EMPTY,,3000,OTA,f,1,0,,
D02_2026-05-07,D02,2026-05-07,EMPTY,,5000,OTA,f,1,0,,
D01_2026-04-23,D01,2026-04-23,SOFT,55F8FF52,5000,OTA,f,1,0,,
D09_2026-04-27,D09,2026-04-27,EMPTY,,6000,OTA,f,1,0,,
D03_2026-04-26,D03,2026-04-26,EMPTY,,5000,DIRECT,f,1,0,,
D09_2026-04-28,D09,2026-04-28,EMPTY,,6000,OTA,f,1,0,,
D03_2026-04-27,D03,2026-04-27,SOFT,BKD4D,5000,DIRECT,f,1,0,,
D03_2026-04-28,D03,2026-04-28,SOFT,BKD4D,5000,DIRECT,f,1,0,,
D03_2026-05-01,D03,2026-05-01,SOFT,BKD3D,5000,OTA,f,1,0,,
D03_2026-05-02,D03,2026-05-02,SOFT,BKD3D,5000,OTA,f,1,0,,
D03_2026-05-03,D03,2026-05-03,SOFT,BKD3D,5000,OTA,f,1,0,,
D03_2026-05-04,D03,2026-05-04,SOFT,BKD3D,5000,OTA,f,1,0,,
D03_2026-05-05,D03,2026-05-05,SOFT,BKD3D,5000,OTA,f,1,0,,
D03_2026-05-06,D03,2026-05-06,EMPTY,,5000,OTA,f,1,0,,
D03_2026-05-07,D03,2026-05-07,EMPTY,,5000,OTA,f,1,0,,
S09_2026-04-30,S09,2026-04-30,EMPTY,,3000,OTA,f,1,0,,
S09_2026-05-01,S09,2026-05-01,EMPTY,,3000,OTA,f,1,0,,
D03_2026-04-29,D03,2026-04-29,SOFT,BKD4D,5000,DIRECT,f,1,0,,
S02_2026-05-02,S02,2026-05-02,EMPTY,,2500,OTA,f,1,0,,
E12_2026-05-17,E12,2026-05-17,EMPTY,,1500,DIRECT,f,1,0,,
S03_2026-05-05,S03,2026-05-05,EMPTY,,2500,OTA,f,1,0,,
S02_2026-05-04,S02,2026-05-04,EMPTY,,2500,OTA,f,1,0,,
D04_2026-05-07,D04,2026-05-07,EMPTY,,5500,OTA,f,1,0,,
S02_2026-05-05,S02,2026-05-05,EMPTY,,2500,OTA,f,1,0,,
D04_2026-05-03,D04,2026-05-03,SOFT,BKD5D,5500,OTA,f,1,0,,
D04_2026-05-04,D04,2026-05-04,SOFT,BKD5D,5500,OTA,f,1,0,,
S03_2026-05-06,S03,2026-05-06,EMPTY,,2500,OTA,f,1,0,,
S03_2026-05-07,S03,2026-05-07,EMPTY,,2500,OTA,f,1,0,,
D03_2026-04-08,D03,2026-04-08,SOFT,BKD9A,5000,OTA,f,1,0,,
D03_2026-04-09,D03,2026-04-09,SOFT,BKD9A,5000,OTA,f,1,0,,
D03_2026-04-10,D03,2026-04-10,SOFT,BKD9A,5000,OTA,f,1,0,,
D03_2026-04-11,D03,2026-04-11,SOFT,BKD9A,5000,OTA,f,1,0,,
D03_2026-04-12,D03,2026-04-12,SOFT,BKD9A,5000,OTA,f,1,0,,
D04_2026-05-05,D04,2026-05-05,SOFT,BKD5D,5500,OTA,f,1,0,,
S02_2026-04-26,S02,2026-04-26,SOFT,BKS8C,2500,OTA,t,1,0,,
S01_2026-04-12,S01,2026-04-12,SOFT,BKS5A,2500,OTA,t,1,0,,
D07_2026-04-26,D07,2026-04-26,SOFT,BKD8C,5500,OTA,t,1,0,,
S06_2026-04-30,S06,2026-04-30,SOFT,BKS4E,2800,OTA,f,1,0,,
D04_2026-05-06,D04,2026-05-06,SOFT,BKD5D,5500,OTA,f,1,0,,
D07_2026-04-27,D07,2026-04-27,SOFT,BKD8C,6000,OTA,f,1,0,,
S10_2026-05-01,S10,2026-05-01,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-02,S10,2026-05-02,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-03,S10,2026-05-03,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-04,S10,2026-05-04,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-05,S10,2026-05-05,EMPTY,,3200,OTA,f,1,0,,
S10_2026-05-06,S10,2026-05-06,EMPTY,,3200,OTA,f,1,0,,
S06_2026-05-01,S06,2026-05-01,SOFT,BKS4E,2800,OTA,f,1,0,,
D07_2026-04-28,D07,2026-04-28,SOFT,BKD8C,6000,OTA,f,1,0,,
S06_2026-05-02,S06,2026-05-02,SOFT,BKS4E,2800,OTA,f,1,0,,
D07_2026-04-29,D07,2026-04-29,SOFT,BKD8C,6000,OTA,f,1,0,,
S03_2026-05-02,S03,2026-05-02,SOFT,BKS4E,2500,OTA,f,1,0,,
S03_2026-05-03,S03,2026-05-03,SOFT,BKS4E,2500,OTA,f,1,0,,
S03_2026-05-04,S03,2026-05-04,SOFT,BKS4E,2500,OTA,f,1,0,,
S06_2026-05-03,S06,2026-05-03,SOFT,BKS4E,2800,OTA,f,1,0,,
S06_2026-05-04,S06,2026-05-04,SOFT,BKS4E,2800,OTA,f,1,0,,
S03_2026-04-30,S03,2026-04-30,SOFT,BKS4E,2500,OTA,f,1,0,,
S03_2026-05-01,S03,2026-05-01,SOFT,BKS4E,2500,OTA,f,1,0,,
E12_2026-05-18,E12,2026-05-18,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-19,E12,2026-05-19,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-20,E12,2026-05-20,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-21,E12,2026-05-21,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-22,E12,2026-05-22,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-23,E12,2026-05-23,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-24,E12,2026-05-24,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-25,E12,2026-05-25,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-26,E12,2026-05-26,EMPTY,,1500,DIRECT,f,1,0,,
E12_2026-05-27,E12,2026-05-27,EMPTY,,1500,DIRECT,f,1,0,,
D05_2026-05-02,D05,2026-05-02,EMPTY,,5500,OTA,f,1,0,,
D05_2026-05-07,D05,2026-05-07,EMPTY,,5500,OTA,f,1,0,,
D05_2026-05-03,D05,2026-05-03,EMPTY,,5500,OTA,f,1,0,,
D05_2026-05-04,D05,2026-05-04,EMPTY,,5500,OTA,f,1,0,,
D05_2026-05-05,D05,2026-05-05,EMPTY,,5500,OTA,f,1,0,,
D05_2026-05-06,D05,2026-05-06,EMPTY,,5500,OTA,f,1,0,,
D03_2026-04-14,D03,2026-04-14,SOFT,BKD7B,5000,OTA,f,1,0,,
D03_2026-04-15,D03,2026-04-15,SOFT,BKD7B,5000,OTA,f,1,0,,
S03_2026-04-27,S03,2026-04-27,EMPTY,,2500,DIRECT,f,1,0,,
S04_2026-05-02,S04,2026-05-02,SOFT,BKS7E,2800,OTA,f,1,0,,
S04_2026-05-03,S04,2026-05-03,SOFT,BKS7E,2800,OTA,f,1,0,,
S04_2026-05-04,S04,2026-05-04,SOFT,BKS7E,2800,OTA,f,1,0,,
D08_2026-04-08,D08,2026-04-08,SOFT,BKD8A,6000,OTA,f,1,0,,
D08_2026-04-09,D08,2026-04-09,SOFT,BKD8A,6000,OTA,f,1,0,,
D07_2026-05-01,D07,2026-05-01,EMPTY,,6000,OTA,f,1,0,,
D07_2026-05-02,D07,2026-05-02,EMPTY,,6000,OTA,f,1,0,,
S01_2026-05-12,S01,2026-05-12,SOFT,77A4252F,2500,DIRECT,f,1,0,,
S01_2026-05-13,S01,2026-05-13,SOFT,77A4252F,2500,DIRECT,f,1,0,,
D06_2026-05-02,D06,2026-05-02,EMPTY,,5500,OTA,f,1,0,,
D06_2026-05-07,D06,2026-05-07,EMPTY,,5500,OTA,f,1,0,,
D07_2026-04-08,D07,2026-04-08,SOFT,BKD7A,6000,OTA,f,1,0,,
D07_2026-04-09,D07,2026-04-09,SOFT,BKD7A,6000,OTA,f,1,0,,
S01_2026-04-13,S01,2026-04-13,SOFT,BKS10A,2500,OTA,f,1,0,,
